neighbourhood,room_type,0
Plaka,Entire home/apt,1021
Neos Kosmos,Entire home/apt,747
Koukaki,Entire home/apt,733
Kolonaki,Entire home/apt,573
Pangrati,Entire home/apt,552
Ambelokipi,Entire home/apt,480
Larissis,Entire home/apt,442
Exarcheia,Entire home/apt,416
Psyri,Entire home/apt,415
Metaxourgeio,Entire home/apt,403
Kerameikos,Entire home/apt,319
Mets,Entire home/apt,254
Kypseli,Entire home/apt,241
Attiki,Entire home/apt,229
Petralona,Entire home/apt,224
Pedion Areos,Entire home/apt,205
Patisia,Entire home/apt,203
Agios Nikolaos,Entire home/apt,181
Neapoli,Entire home/apt,177
Ilisia,Entire home/apt,167
Metaxourgeio,Private room,120
Larissis,Private room,114
Kolonos,Entire home/apt,105
Thiseio,Entire home/apt,103
Plaka,Private room,95
Psyri,Private room,76
Koukaki,Private room,72
Exarcheia,Private room,64
Kypseli,Private room,63
Pedion Areos,Private room,60
Agios Loukas,Entire home/apt,59
Neos Kosmos,Private room,58
Votanikos,Entire home/apt,54
Gazi,Entire home/apt,51
Pangrati,Private room,49
Akadimia Platonos,Entire home/apt,38
Attiki,Private room,38
Kolonaki,Private room,37
Sepolia,Entire home/apt,34
Neapoli,Private room,30
Ambelokipi,Private room,30
Kerameikos,Private room,28
Agios Nikolaos,Private room,28
Goudi,Entire home/apt,22
Monastiraki,Entire home/apt,22
Petralona,Private room,18
Patisia,Private room,18
Mets,Private room,17
Rizoupoli,Entire home/apt,14
Psyri,Shared room,13
Kolonos,Private room,13
Profitis Daniil,Entire home/apt,12
Agios Loukas,Private room,11
Ilisia,Private room,9
Monastiraki,Private room,9
Thiseio,Private room,9
Kerameikos,Shared room,8
Gazi,Private room,8
Akadimia Platonos,Private room,8
Rizoupoli,Private room,7
Goudi,Private room,6
Votanikos,Private room,5
ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,Entire home/apt,5
Neos Kosmos,Shared room,4
Rouf,Entire home/apt,4
Sepolia,Private room,3
Petralona,Shared room,3
Pedion Areos,Shared room,3
Gazi,Shared room,3
ΠΕΝΤΑΓΩΝΟ,Entire home/apt,2
Goudi,Shared room,2
Metaxourgeio,Shared room,2
Kolonaki,Shared room,1
Kolonos,Shared room,1
Koukaki,Shared room,1
Ambelokipi,Shared room,1
Larissis,Shared room,1
ΠΑΓΚΡΑΤΙ,Entire home/apt,1
Akadimia Platonos,Shared room,1
Pangrati,Shared room,1
Profitis Daniil,Shared room,1
ΑΓΙΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ-ΠΛΑΤΕΙΑ ΒΑΘΗΣ,Entire home/apt,1
ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,Private room,1
Agios Loukas,Shared room,1
ΜΟΥΣΕΙΟ-ΕΞΑΡΧΕΙΑ-ΝΕΑΠΟΛΗ,Entire home/apt,1
